judge,arm,metric,iteration,n,mean,sd,se
gpt-4o-mini,GRPO_LA0,Q1Q2,2,96,3.359375,1.1670452405222367,0.11911105608429776
gpt-4o-mini,GRPO_LA0,Q1Q2,3,96,3.9934436274509806,0.7788465710731384,0.07949069529356259
gpt-4o-mini,GRPO_LA0,Q1Q2,4,96,4.004411764705883,0.7271466878085653,0.07421409805357677
gpt-4o-mini,GRPO_LA0,Q1Q2,5,96,3.9717524509803925,0.8158990245156251,0.08327234548740936
gpt-4o-mini,GRPO_LA0,Q1Q2,6,96,3.965563725490196,0.7264149859854647,0.07413941904897425
gpt-4o-mini,GRPO_LA0,Q1Q2,7,96,4.074019607843137,0.7492652464372056,0.07647156399049355
gpt-4o-mini,GRPO_LA0,Q1Q2,8,96,4.082291666666667,0.8011430982769011,0.08176632507211688
gpt-4o-mini,GRPO_LA0,Q1Q2,9,96,3.807475490196078,0.7414985192350712,0.07567887571480092
gpt-4o-mini,GRPO_LA0,Q1Q2,10,96,3.7525735294117646,1.0062470370726844,0.1026996581673127
gpt-4o-mini,GRPO_LA0,Q2,0,96,3.1127450980392157,1.1569484497122977,0.11808055668746555
gpt-4o-mini,GRPO_LA0,Q2,1,96,3.360906862745098,1.074077252526026,0.10962255054246826
gpt-4o-mini,GRPO_LA0,Q2,2,96,3.4166666666666665,1.0834315081899493,0.11057726526330791
gpt-4o-mini,GRPO_LA0,Q2,3,96,4.051470588235294,0.6050386382528895,0.06175149743283145
gpt-4o-mini,GRPO_LA0,Q2,4,96,4.1109068627450975,0.5364764129597067,0.054753894616246426
gpt-4o-mini,GRPO_LA0,Q2,5,96,4.074754901960785,0.650874153614864,0.0664295651300955
gpt-4o-mini,GRPO_LA0,Q2,6,96,4.120710784313725,0.5630115054959605,0.05746212115755293
gpt-4o-mini,GRPO_LA0,Q2,7,96,4.202205882352941,0.6071157304068545,0.06196348976307948
gpt-4o-mini,GRPO_LA0,Q2,8,96,4.229166666666667,0.6634006839245454,0.0677080487761883
gpt-4o-mini,GRPO_LA0,Q2,9,96,4.08578431372549,0.5529949691683042,0.056439812699519205
gpt-4o-mini,GRPO_LA0,Q2,10,96,3.8988970588235294,0.8937225428563066,0.09121517506752594
gpt-4o-mini,GRPO_LA0,WAI-SR,0,96,2.889756944444444,1.1093366907835143,0.11322120189030219
gpt-4o-mini,GRPO_LA0,WAI-SR,1,96,2.9756944444444446,1.0494301340431467,0.10710701454609432
gpt-4o-mini,GRPO_LA0,WAI-SR,2,96,3.0043402777777772,1.0980691314735729,0.11207121143380626
gpt-4o-mini,GRPO_LA0,WAI-SR,3,96,3.301215277777778,0.9485576763952434,0.09681176244868309
gpt-4o-mini,GRPO_LA0,WAI-SR,4,96,3.2916666666666665,0.914391114956347,0.09332465237406858
gpt-4o-mini,GRPO_LA0,WAI-SR,5,96,3.2083333333333335,0.9654105571515411,0.09853180238822055
gpt-4o-mini,GRPO_LA0,WAI-SR,6,96,3.296875,0.9407764383835003,0.09601759316968646
gpt-4o-mini,GRPO_LA0,WAI-SR,7,96,3.3177083333333335,0.8731130447364127,0.08911172697383472
gpt-4o-mini,GRPO_LA0,WAI-SR,8,96,3.374131944444444,0.9091795343507582,0.09279274765585702
gpt-4o-mini,GRPO_LA0,WAI-SR,9,96,3.0885416666666665,0.9920600354994086,0.10125170338253821
gpt-4o-mini,GRPO_LA0,WAI-SR,10,96,3.4383680555555554,0.9033113863834447,0.09219383231189583
gpt-4o-mini,GRPO_LA5,CSQ-8,0,96,2.35546875,1.2505693604630441,0.12763570087888107
gpt-4o-mini,GRPO_LA5,CSQ-8,1,96,2.3958333333333335,1.2265788250394214,0.12518717711037938
gpt-4o-mini,GRPO_LA5,CSQ-8,2,96,2.58203125,1.1500612290622205,0.11737763267335519
gpt-4o-mini,GRPO_LA5,CSQ-8,3,96,2.8307291666666665,1.0031167165040291,0.10238017116212336
gpt-4o-mini,GRPO_LA5,CSQ-8,4,96,2.9205729166666665,0.918580102742003,0.0937521891496356
gpt-4o-mini,GRPO_LA5,CSQ-8,5,96,2.9075520833333335,1.0026682808732397,0.10233440289221014
gpt-4o-mini,GRPO_LA5,MI-SAT,0,96,2.815972222222222,1.463089570606644,0.14932595399891746
gpt-4o-mini,GRPO_LA5,MI-SAT,1,96,2.9461805555555554,1.432801776520123,0.14623471895948156
gpt-4o-mini,GRPO_LA5,MI-SAT,2,96,3.144097222222222,1.312695497368265,0.13397642317505115
gpt-4o-mini,GRPO_LA5,MI-SAT,3,96,3.4895833333333335,1.1007207898963032,0.11234184518829969
gpt-4o-mini,GRPO_LA5,MI-SAT,4,96,3.621527777777778,0.9746731845927293,0.09947716534273775
gpt-4o-mini,GRPO_LA5,MI-SAT,5,96,3.559027777777778,1.109759777669273,0.11326438301475936
gpt-4o-mini,GRPO_LA5,MICI,0,96,0.20902164964664963,0.20937211312571072,0.021368951813594488
gpt-4o-mini,GRPO_LA5,MICI,1,96,0.22799043862969862,0.23401064224179488,0.023883611161390855
gpt-4o-mini,GRPO_LA5,MICI,2,96,0.22758187168720423,0.194177475291087,0.019818155583543818
gpt-4o-mini,GRPO_LA5,MICI,3,96,0.3078285534375898,0.20011194216404082,0.020423839572468277
gpt-4o-mini,GRPO_LA5,MICI,4,96,0.30497848760716406,0.17878396783023262,0.018247062307259688
gpt-4o-mini,GRPO_LA5,MICI,5,96,0.3402850926484238,0.20863257006544525,0.021293472516075038
gpt-4o-mini,GRPO_LA5,MITI,0,96,3.1197916666666665,0.9894038387535955,0.10098060643738474
gpt-4o-mini,GRPO_LA5,MITI,1,96,3.2994791666666665,0.962193075921292,0.09820341958525836
gpt-4o-mini,GRPO_LA5,MITI,2,96,3.5364583333333335,0.8094663338360868,0.08261581174415827
gpt-4o-mini,GRPO_LA5,MITI,3,96,3.8645833333333335,0.643711142584715,0.06569849337818746
gpt-4o-mini,GRPO_LA5,MITI,4,96,4.083333333333333,0.4766476502156916,0.04864764708854337
gpt-4o-mini,GRPO_LA5,MITI,5,96,4.010416666666667,0.6426882958433545,0.06559409951979574
gpt-4o-mini,GRPO_LA5,PCT,0,96,0.4707383425732758,0.32512219920487745,0.03318264550431069
gpt-4o-mini,GRPO_LA5,PCT,1,96,0.4768613745855594,0.32309292666048545,0.03297553374252737
gpt-4o-mini,GRPO_LA5,PCT,2,96,0.5148368634165953,0.2992014344209329,0.03053711852667037
gpt-4o-mini,GRPO_LA5,PCT,3,96,0.5795232014421593,0.2608771285853358,0.02662566044152118
gpt-4o-mini,GRPO_LA5,PCT,4,96,0.6137562707800542,0.23911315047345194,0.0244043837270538
gpt-4o-mini,GRPO_LA5,PCT,5,96,0.5782141979752274,0.2716921225399423,0.02772946113985746
gpt-4o-mini,GRPO_LA5,Q1,0,96,2.9104166666666664,1.3364114688355109,0.13639692437709938
gpt-4o-mini,GRPO_LA5,Q1,1,96,3.172916666666667,1.3121680866868004,0.13392259454778108
gpt-4o-mini,GRPO_LA5,Q1,2,96,3.360416666666667,1.188584223410504,0.12130936931991412
gpt-4o-mini,GRPO_LA5,Q1,3,96,3.80625,1.0125333002970947,0.10334124722100554
gpt-4o-mini,GRPO_LA5,Q1,4,96,4.1000000000000005,0.8228320798188093,0.08397994748121346
gpt-4o-mini,GRPO_LA5,Q1,5,96,3.9875000000000003,1.0287703441743603,0.10499843357227565
gpt-4o-mini,GRPO_LA5,Q1Q2,0,96,2.9631740196078433,1.2447765917140738,0.12704447889417617
gpt-4o-mini,GRPO_LA5,Q1Q2,1,96,3.2715073529411764,1.1870930131971227,0.12115717331483034
gpt-4o-mini,GRPO_LA5,Q1Q2,2,96,3.435110294117647,1.045790254288261,0.10673552087423778
gpt-4o-mini,GRPO_LA5,Q1Q2,3,96,3.861764705882353,0.8550351152208839,0.08726665601887451
gpt-4o-mini,GRPO_LA5,Q1Q2,4,96,4.119852941176471,0.6679826900135306,0.06817569781436911
gpt-4o-mini,GRPO_LA5,Q1Q2,5,96,4.041544117647059,0.8720362038217306,0.0890018223582046
gpt-4o-mini,GRPO_LA5,Q2,0,96,3.0159313725490198,1.182568689915303,0.12069541150350314
gpt-4o-mini,GRPO_LA5,Q2,1,96,3.370098039215686,1.090677259039049,0.11131678161262593
gpt-4o-mini,GRPO_LA5,Q2,2,96,3.5098039215686274,0.927637396529644,0.09467659532589395
gpt-4o-mini,GRPO_LA5,Q2,3,96,3.917279411764706,0.7348830120096498,0.07500368333596852
gpt-4o-mini,GRPO_LA5,Q2,4,96,4.139705882352941,0.532891898295162,0.05438805162026067
gpt-4o-mini,GRPO_LA5,Q2,5,96,4.095588235294118,0.7336762386537943,0.07488051754609218
gpt-4o-mini,GRPO_LA5,WAI-SR,0,96,2.8567708333333335,1.1030727368216924,0.11258188976618766
gpt-4o-mini,GRPO_LA5,WAI-SR,1,96,2.9635416666666665,1.0965664447885761,0.11191784411624307
gpt-4o-mini,GRPO_LA5,WAI-SR,2,96,3.0442708333333335,1.0805939132761004,0.11028765444515597
gpt-4o-mini,GRPO_LA5,WAI-SR,3,96,3.3203125,0.8831866913202137,0.09013986422297819
gpt-4o-mini,GRPO_LA5,WAI-SR,4,96,3.440972222222222,0.7724152016012614,0.07883429639550378
gpt-4o-mini,GRPO_LA5,WAI-SR,5,96,3.4635416666666665,0.8511097416888499,0.08686602426040325
gpt-4o-mini,PTO_LA0,CSQ-8,0,96,2.3841145833333335,1.19404288796986,0.12186649193855731
gpt-4o-mini,PTO_LA0,CSQ-8,1,96,2.4010416666666665,1.2194849898013822,0.12446316558318894
gpt-4o-mini,PTO_LA0,CSQ-8,2,96,2.5260416666666665,1.1827872782601423,0.12071772108302714
gpt-4o-mini,PTO_LA0,CSQ-8,3,96,2.67578125,1.0788910798459002,0.11011385973594998
gpt-4o-mini,PTO_LA0,CSQ-8,4,96,2.7513020833333335,1.0459028446355172,0.10674701207843532
gpt-4o-mini,PTO_LA0,CSQ-8,5,96,2.7486979166666665,1.0324496278757997,0.10537394889258671
gpt-4o-mini,PTO_LA0,CSQ-8,6,96,2.81640625,1.0124152214344198,0.10332919584754881
gpt-4o-mini,PTO_LA0,CSQ-8,7,96,2.80078125,1.0149504338753121,0.10358794488378807
gpt-4o-mini,PTO_LA0,CSQ-8,8,96,2.8645833333333335,0.9563958293803567,0.09761174058782476
gpt-4o-mini,PTO_LA0,CSQ-8,9,96,2.98046875,0.859032527453812,0.08767464019646756
gpt-4o-mini,PTO_LA0,CSQ-8,10,96,2.9453125,0.8804926290076721,0.08986490263960363
gpt-4o-mini,PTO_LA0,MI-SAT,0,96,2.8368055555555554,1.3891768707287209,0.1417822706567348
gpt-4o-mini,PTO_LA0,MI-SAT,1,96,2.90625,1.4123127107629019,0.14414356244233476
gpt-4o-mini,PTO_LA0,MI-SAT,2,96,3.0694444444444446,1.3676861124337885,0.13958887932306524
gpt-4o-mini,PTO_LA0,MI-SAT,3,96,3.2413194444444446,1.225668403795406,0.12509425763126159
gpt-4o-mini,PTO_LA0,MI-SAT,4,96,3.378472222222222,1.1420918446764312,0.11656426078546821
gpt-4o-mini,PTO_LA0,MI-SAT,5,96,3.371527777777778,1.1796220939777238,0.12039467581495203
gpt-4o-mini,PTO_LA0,MI-SAT,6,96,3.529513888888889,1.0803927138681275,0.11026711961656915
gpt-4o-mini,PTO_LA0,MI-SAT,7,96,3.4461805555555554,1.1263704561481676,0.11495970328787276
gpt-4o-mini,PTO_LA0,MI-SAT,8,96,3.5538194444444446,1.0682813413920846,0.10903100783944025
gpt-4o-mini,PTO_LA0,MI-SAT,9,96,3.6336805555555554,0.9589894143738459,0.09787644724776594
gpt-4o-mini,PTO_LA0,MI-SAT,10,96,3.652777777777778,0.9395988526486373,0.09589740632890334
gpt-4o-mini,PTO_LA0,MICI,0,96,0.21316771503752,0.22342563134714044,0.022803283010819846
gpt-4o-mini,PTO_LA0,MICI,1,96,0.2092093991588477,0.2023223133770274,0.020649434639716354
gpt-4o-mini,PTO_LA0,MICI,2,96,0.2200869120881698,0.1958414687846979,0.01998798620832123
gpt-4o-mini,PTO_LA0,MICI,3,96,0.25232503398206424,0.18995292368823344,0.019386989091083485
gpt-4o-mini,PTO_LA0,MICI,4,96,0.21456431709164872,0.1588724301632019,0.01621484950399166
gpt-4o-mini,PTO_LA0,MICI,5,96,0.28896680438548666,0.18652269725661458,0.019036893071930395
gpt-4o-mini,PTO_LA0,MICI,6,96,0.31807976361551243,0.20973514115608966,0.021406003206792652
gpt-4o-mini,PTO_LA0,MICI,7,96,0.3408361227557852,0.20756934018247927,0.0211849570705523
gpt-4o-mini,PTO_LA0,MICI,8,96,0.3488856424748599,0.21696298767318709,0.022143692202877704
gpt-4o-mini,PTO_LA0,MICI,9,96,0.47100878607868735,0.2135250184340992,0.021792805936746464
gpt-4o-mini,PTO_LA0,MICI,10,96,0.491411057597445,0.24790456590884752,0.025301653807618264
gpt-4o-mini,PTO_LA0,MITI,0,96,3.1328125,1.0123923756965088,0.10332686416418717
gpt-4o-mini,PTO_LA0,MITI,1,96,3.3385416666666665,0.9375073099130219,0.09568393914234156
gpt-4o-mini,PTO_LA0,MITI,2,96,3.4973958333333335,0.8603050190933406,0.08780451333058434
gpt-4o-mini,PTO_LA0,MITI,3,96,3.71875,0.709197099765495,0.07238212589529827
gpt-4o-mini,PTO_LA0,MITI,4,96,3.9244791666666665,0.58615584382109,0.05982428029634077
gpt-4o-mini,PTO_LA0,MITI,5,96,3.9609375,0.6532591621207748,0.06667298404141547
gpt-4o-mini,PTO_LA0,MITI,6,96,4.091145833333333,0.5283038794435336,0.05391978890706235
gpt-4o-mini,PTO_LA0,MITI,7,96,4.067708333333333,0.6319135170119848,0.06449440326028752
gpt-4o-mini,PTO_LA0,MITI,8,96,4.171875,0.5599723912367184,0.05715194285733794
gpt-4o-mini,PTO_LA0,MITI,9,96,4.2421875,0.4899692860943321,0.05000728085695263
gpt-4o-mini,PTO_LA0,MITI,10,96,4.2734375,0.550213026926844,0.05615588190845788
gpt-4o-mini,PTO_LA0,PCT,0,96,0.48878516049105963,0.31200903574750655,0.03184428886329947
gpt-4o-mini,PTO_LA0,PCT,1,96,0.4593542406945224,0.3126229260035594,0.031906943775190974
gpt-4o-mini,PTO_LA0,PCT,2,96,0.4911348450096515,0.31299064725655634,0.03194447416841678
gpt-4o-mini,PTO_LA0,PCT,3,96,0.5334279631384411,0.3019566554647826,0.0308183220969208
gpt-4o-mini,PTO_LA0,PCT,4,96,0.5376395003712778,0.28553855397985656,0.02914265663094998
gpt-4o-mini,PTO_LA0,PCT,5,96,0.5547155619112856,0.2948065493127325,0.030088567443618396
gpt-4o-mini,PTO_LA0,PCT,6,96,0.5690581146221626,0.28521124689926236,0.029109250991922655
gpt-4o-mini,PTO_LA0,PCT,7,96,0.5450807819434464,0.2772101447871392,0.028292641927147383
gpt-4o-mini,PTO_LA0,PCT,8,96,0.5726304548600408,0.2759553005897105,0.028164569927547695
gpt-4o-mini,PTO_LA0,PCT,9,96,0.6117501031103972,0.25262204771542485,0.02578312977832566
gpt-4o-mini,PTO_LA0,PCT,10,96,0.6301370921085995,0.22386754328990707,0.022848385459612354
gpt-4o-mini,PTO_LA0,Q1,0,96,2.922916666666667,1.3229535669670638,0.13502338301934338
gpt-4o-mini,PTO_LA0,Q1,1,96,3.172916666666667,1.2631188773213762,0.12891653057977145
gpt-4o-mini,PTO_LA0,Q1,2,96,3.40625,1.2415450900093463,0.12671466513252966
gpt-4o-mini,PTO_LA0,Q1,3,96,3.702083333333333,1.0543123642467203,0.1076053050796593
gpt-4o-mini,PTO_LA0,Q1,4,96,3.9,0.9272483344197554,0.09463688684058238
gpt-4o-mini,PTO_LA0,Q1,5,96,3.922916666666667,0.9961482838959127,0.10166895848725432
gpt-4o-mini,PTO_LA0,Q1,6,96,4.04375,0.8831537387769977,0.0901365010181196
gpt-4o-mini,PTO_LA0,Q1,7,96,3.975,0.9291762055996869,0.09483364936894279
gpt-4o-mini,PTO_LA0,Q1,8,96,4.1000000000000005,0.8758755018476325,0.08939366907211853
gpt-4o-mini,PTO_LA0,Q1,9,96,4.120833333333334,0.8138170836336843,0.08305985828593457
gpt-4o-mini,PTO_LA0,Q1,10,96,4.139583333333333,0.7760194200861711,0.07920215040423444
gpt-4o-mini,PTO_LA0,Q1Q2,0,96,3.0003676470588236,1.2342563272994729,0.125970758903554
gpt-4o-mini,PTO_LA0,Q1Q2,1,96,3.263541666666667,1.141869700964367,0.11654158833779633
gpt-4o-mini,PTO_LA0,Q1Q2,2,96,3.466299019607843,1.0816993851179093,0.11040048119254958
gpt-4o-mini,PTO_LA0,Q1Q2,3,96,3.814889705882353,0.8660916227819063,0.08839510609644655
gpt-4o-mini,PTO_LA0,Q1Q2,4,96,4.0075980392156865,0.7158796266800633,0.07306415844251109
gpt-4o-mini,PTO_LA0,Q1Q2,5,96,4.014460784313726,0.7929239585578939,0.0809274626372748
gpt-4o-mini,PTO_LA0,Q1Q2,6,96,4.15392156862745,0.6661269593431107,0.06798629809592904
gpt-4o-mini,PTO_LA0,Q1Q2,7,96,4.129044117647059,0.6866279091553391,0.07007866752436097
gpt-4o-mini,PTO_LA0,Q1Q2,8,96,4.220649509803922,0.6400333461944613,0.06532312985593866
gpt-4o-mini,PTO_LA0,Q1Q2,9,96,4.238419117647059,0.6256258658358955,0.06385267254936962
gpt-4o-mini,PTO_LA0,Q1Q2,10,96,4.2597426470588236,0.6006687999168839,0.06130550267526202
gpt-4o-mini,PTO_LA0,Q2,0,96,3.0778186274509807,1.178372913746387,0.12026718189147091
gpt-4o-mini,PTO_LA0,Q2,1,96,3.3541666666666665,1.068138563243148,0.10901643560563551
gpt-4o-mini,PTO_LA0,Q2,2,96,3.526348039215686,0.9522326529979745,0.09718683817757301
gpt-4o-mini,PTO_LA0,Q2,3,96,3.9276960784313726,0.7177779491185828,0.07325790516507978
gpt-4o-mini,PTO_LA0,Q2,4,96,4.115196078431373,0.534438922664814,0.05454594413381476
gpt-4o-mini,PTO_LA0,Q2,5,96,4.106004901960785,0.6231507578383226,0.06360005789718898
gpt-4o-mini,PTO_LA0,Q2,6,96,4.2640931372549025,0.4727500493050747,0.048249849861375926
gpt-4o-mini,PTO_LA0,Q2,7,96,4.283088235294118,0.47798463722379525,0.04878410275365104
gpt-4o-mini,PTO_LA0,Q2,8,96,4.341299019607843,0.42748580277772863,0.04363008704539496
gpt-4o-mini,PTO_LA0,Q2,9,96,4.356004901960785,0.4732409591347522,0.04829995313606037
gpt-4o-mini,PTO_LA0,Q2,10,96,4.379901960784314,0.4438139257663987,0.04529656911954703
gpt-4o-mini,PTO_LA0,WAI-SR,0,96,2.8446180555555554,1.1153251821507355,0.11383239973108361
gpt-4o-mini,PTO_LA0,WAI-SR,1,96,2.8949652777777772,1.094793953194512,0.1117369399504585
gpt-4o-mini,PTO_LA0,WAI-SR,2,96,3.0130208333333335,1.0440816304405474,0.10656113518301907
gpt-4o-mini,PTO_LA0,WAI-SR,3,96,3.1397569444444446,0.953869833677735,0.09735393223099618
gpt-4o-mini,PTO_LA0,WAI-SR,4,96,3.280381944444444,0.917433474464621,0.09363516189112592
gpt-4o-mini,PTO_LA0,WAI-SR,5,96,3.263888888888889,0.9771263114152842,0.09972753655063751
gpt-4o-mini,PTO_LA0,WAI-SR,6,96,3.40625,0.8329165624478843,0.08500919067959654
gpt-4o-mini,PTO_LA0,WAI-SR,7,96,3.3255208333333335,0.9419618482390949,0.09613857855644782
gpt-4o-mini,PTO_LA0,WAI-SR,8,96,3.4244791666666665,0.8627338334606223,0.08805240315890854
gpt-4o-mini,PTO_LA0,WAI-SR,9,96,3.5364583333333335,0.7764641423320754,0.07924753967838985
gpt-4o-mini,PTO_LA0,WAI-SR,10,96,3.4973958333333335,0.7993466927647341,0.08158298020228637
gpt-4o-mini,PTO_LA5,CSQ-8,0,96,2.3385416666666665,1.1866744591208764,0.12111445481830678
gpt-4o-mini,PTO_LA5,CSQ-8,1,96,2.4114583333333335,1.1956495518659274,0.1220304713857872
gpt-4o-mini,PTO_LA5,CSQ-8,2,96,2.4830729166666665,1.2060183226747399,0.12308872962501453
gpt-4o-mini,PTO_LA5,CSQ-8,3,96,2.6184895833333335,1.121759923604931,0.11448914278064667
gpt-4o-mini,PTO_LA5,CSQ-8,4,96,2.7252604166666665,1.0773718924434557,0.10995880832096443
gpt-4o-mini,PTO_LA5,CSQ-8,5,96,2.8216145833333335,0.9905382627088924,0.10109638809748756
