judge,method,cut,n_turns,agr_K0,K0_lo,K0_hi,pairs_K0,agr_K5,K5_lo,K5_hi,pairs_K5,delta_K0_minus_K5,d_lo,d_hi
gpt-4o-mini,PTO,matched_iters,28,0.7836745008845085,0.7443534642178461,0.8209340421178901,3957,0.8246647039581289,0.7974045029562592,0.8510970985672416,6114,-0.040990203073620335,-0.08526790902381674,0.006011381456554445
gpt-4o-mini,PTO,matched_iters,30,0.7636952998379255,0.7172045311230624,0.8063432636177796,3085,0.8115354938271605,0.7802212084096759,0.8401420010692454,5184,-0.047840193989235,-0.10320419862479559,0.004699832445086279
gpt-4o-mini,PTO,matched_iters,32,0.7632794457274826,0.7147271453136533,0.805873862781312,2598,0.8219456438912878,0.7880707725218427,0.8545035887321437,3937,-0.05866619816380514,-0.1154388485520229,-0.005542876945517118
gpt-4o-mini,PTO,matched_iters,34,0.7597156398104266,0.7031831746309927,0.8123289039289128,2110,0.8159314503332276,0.7806799517168539,0.8494603027172105,3151,-0.056215810522801,-0.12232178957206997,0.005356244651980614
gpt-4o-mini,PTO,matched_iters,36,0.7668364459535937,0.7069064862951905,0.8183714189533261,1767,0.8060721062618595,0.7665436155375602,0.8463424933689686,2635,-0.03923566030826586,-0.11007415108939163,0.024881386115635926
gpt-4o-mini,PTO,matched_iters,38,0.7654061624649859,0.7054649112195266,0.8204576585962031,1428,0.8147456836210919,0.7697245216777723,0.857939244322329,2143,-0.04933952115610596,-0.1250283595746097,0.019739839454729347
gpt-4o-mini,PTO,matched_iters,40,0.7581354441512753,0.6939933706018234,0.8209634703196347,1137,0.8041878890775326,0.757203165374677,0.8472901988106687,1767,-0.04605244492625726,-0.12467686514621162,0.032215825983293755
gpt-4o-mini,PTO,matched_iters,42,0.7376387487386479,0.6600712707215229,0.8104336241500533,991,0.8142476697736352,0.7602888993474599,0.8596156200658335,1502,-0.07660892103498729,-0.16723832275214093,0.012302437375053264
gpt-4o-mini,PTO,matched_iters,44,0.7477678571428571,0.6666666666666666,0.8220817392133103,896,0.8088235294117647,0.753329158183024,0.858818163111597,1360,-0.061055672268907624,-0.1553013162965006,0.03540172583516184
gpt-4o-mini,PTO,matched_iters,46,0.7574404761904762,0.6604719694607996,0.8350528863234244,672,0.8248962655601659,0.7696735413976844,0.8729833405135937,1205,-0.06745578936968977,-0.1693971415284432,0.032337097727408934
gpt-4o-mini,PTO,matched_iters,48,0.7561436672967864,0.6598878257799852,0.8363674966222736,529,0.8257777777777778,0.7675211132290881,0.8732978956798362,1125,-0.06963411048099144,-0.17260061133017604,0.03070234817999475
gpt-4o-mini,PTO,matched_iters,12-20,0.8552346960847934,0.8426210100575857,0.8679203676602195,110952,0.8786023215373868,0.8669884340256786,0.8889679920096987,134566,-0.02336762545259341,-0.03890752923742944,-0.005228301617227986
gpt-4o-mini,PTO,matched_iters,22-34,0.7869865724811984,0.7561094208620383,0.8163498414665527,32843,0.832634814193909,0.809697043298696,0.8531999090945269,50106,-0.045648241712710536,-0.08205100246383096,-0.009100433337389548
gpt-4o-mini,PTO,matched_iters,36-50,0.7574123989218329,0.6952310379016262,0.8155083442896457,7420,0.8125585754451734,0.7694805459277019,0.8520479286952308,11737,-0.05514617652334053,-0.12943687677644247,0.017097519636932554
gpt-4o-mini,PTO,matched_iters,all,0.8356115464735642,0.8201756403008316,0.8512687608122637,151215,0.8629288881874049,0.8481867366254567,0.8761145815879509,196409,-0.027317341713840704,-0.047333566543599576,-0.005688066804807164
gpt-4o-mini,GRPO,train_iter_1,12,0.8459932132602453,0.8053461723177009,0.8838952048709798,3831,0.830781627719581,0.7906357110972946,0.868235130299757,3723,0.015211585540664374,-0.04190813598905921,0.06780469788652498
gpt-4o-mini,GRPO,train_iter_1,14,0.8730666666666667,0.8394525824799771,0.9047148244201044,3750,0.8626152073732719,0.8221485621892232,0.8994105888262698,3472,0.01045145929339475,-0.04173375821169505,0.06525264816447462
gpt-4o-mini,GRPO,train_iter_1,16,0.8758023106546855,0.8390058597870393,0.9076803412169765,3116,0.8708119529127679,0.8271148453163465,0.9104223060436563,3313,0.004990357741917584,-0.0496180678483357,0.061848388266123114
gpt-4o-mini,GRPO,train_iter_1,18,0.896526508226691,0.8584883137661888,0.9284166740662726,2735,0.88470066518847,0.8508971692733065,0.9138109792852469,2706,0.011825843038220984,-0.03718236024807599,0.05719378267051355
gpt-4o-mini,GRPO,train_iter_1,20,0.9039735099337748,0.8665213788123702,0.9351218665566947,2114,0.883068288119738,0.8358709444477684,0.9210197920552032,2138,0.020905221814036756,-0.0347131751724538,0.07567322408301246
gpt-4o-mini,GRPO,train_iter_1,22,0.9151785714285714,0.880991828456627,0.9418851484551243,1568,0.8856026785714286,0.847068465615383,0.9186249364422808,1792,0.029575892857142794,-0.0154108073689699,0.07863736064358218
gpt-4o-mini,GRPO,train_iter_1,24,0.9083557951482479,0.8688406178459595,0.9433206881390708,1113,0.8945736434108527,0.8562985382233665,0.9284552683674684,1290,0.013782151737395276,-0.03922494271125501,0.06853953935927962
gpt-4o-mini,GRPO,train_iter_1,26,0.9156862745098039,0.8717008796073387,0.9504098323821507,1020,0.9019248395967002,0.8389496545949341,0.9477545648570874,1091,0.013761434913103665,-0.049269995250336866,0.084668550551699
gpt-4o-mini,GRPO,train_iter_1,28,0.9088863892013498,0.8640187014809372,0.9492916899919139,889,0.9097142857142857,0.8555644266731973,0.9541640203239123,875,-0.0008278965129359106,-0.06124819033609869,0.06435368950120575
gpt-4o-mini,GRPO,train_iter_1,30,0.9215686274509803,0.8771043438250882,0.9588007180973527,765,0.9016152716593245,0.8348597715570193,0.9549939464577742,681,0.019953355791655802,-0.04935327880573662,0.097467384953256
gpt-4o-mini,GRPO,train_iter_1,32,0.918918918918919,0.8628154952076678,0.9615610328638498,555,0.9201680672268907,0.8417781009606184,0.9737010796221323,476,-0.001249148307971737,-0.07956905045607422,0.08447038728042353
gpt-4o-mini,GRPO,train_iter_1,34,0.9428571428571428,0.9015812417618629,0.9726089382012025,490,0.9236276849642004,0.8568112293824319,0.9712415114637262,419,0.019229457892942392,-0.0495415256240657,0.09375200191311223
gpt-4o-mini,GRPO,train_iter_1,36,0.9382716049382716,0.8830022197558269,0.9790432201798493,405,0.927027027027027,0.8742463546190062,0.9714311133706152,370,0.011244577911244558,-0.05953243131837481,0.07739143716985432
gpt-4o-mini,GRPO,train_iter_1,38,0.9575596816976127,0.914529576436222,0.9889334180227048,377,0.9305993690851735,0.8541628649635036,0.9819951146481758,317,0.026960312612439252,-0.04302874544241379,0.10411623576261045
gpt-4o-mini,GRPO,train_iter_1,40,0.946949602122016,0.8954469049433798,0.983255582137161,377,0.9622641509433962,0.9105712771595125,0.995674178762414,265,-0.01531454882138028,-0.08069381848709796,0.04543095646712964
gpt-4o-mini,GRPO,train_iter_1,42,0.9457142857142857,0.8882777868152426,0.9864947574693338,350,0.9098360655737705,0.8051936115355234,0.9785003431708991,244,0.03587822014051523,-0.05569388767877432,0.14429346484976008
gpt-4o-mini,GRPO,train_iter_1,44,0.9571428571428572,0.9074242030266785,0.9914617486338798,350,0.9230769230769231,0.8565183348558005,0.9722409909909909,247,0.034065934065934056,-0.03874115020240328,0.11273429246562526
gpt-4o-mini,GRPO,train_iter_1,46,0.9633333333333334,0.919861577181208,0.9929693291326909,300,0.9221311475409836,0.8403731416275431,0.9821532392026577,244,0.0412021857923498,-0.030461858904917788,0.12649287753738991
gpt-4o-mini,GRPO,train_iter_1,48,0.9732441471571907,0.934127499717546,1.0,299,0.9380165289256198,0.8701689487632509,0.986490990990991,242,0.035227618231570834,-0.02612594820088795,0.1056660059705962
gpt-4o-mini,GRPO,train_iter_1,50,0.9766666666666667,0.9272328009828009,1.0,300,0.9631147540983607,0.918914695945946,0.9957345444949095,244,0.013551912568306013,-0.03814814941459677,0.06677066093203343
gpt-4o-mini,GRPO,train_iter_1,12-20,0.8752733822205069,0.8415192975742903,0.9045344075154088,15546,0.8634054194893174,0.8295021125646627,0.8945224314119121,15352,0.011867962731189508,-0.03417023584749642,0.058203401362578094
gpt-4o-mini,GRPO,train_iter_1,22-34,0.91640625,0.882885340762783,0.9440070908673435,6400,0.8997584541062802,0.8577238171783771,0.9331685048451898,6624,0.016647795893719786,-0.029946792598087194,0.06493382510469431
gpt-4o-mini,GRPO,train_iter_1,36-50,0.9561276287164612,0.9165657686805286,0.9843110610519464,2758,0.9341923607915325,0.893600430939136,0.9663104675745108,2173,0.021935267924928725,-0.029983452076624954,0.07130976516402458
gpt-4o-mini,GRPO,train_iter_1,all,0.8949562823834197,0.8682231011486983,0.9184034831974451,24704,0.8797465733570748,0.8485197680471167,0.9084892360434437,24149,0.015209709026344886,-0.023155278015766997,0.05718199482768974
gpt-4o-mini,GRPO,iters_1-5,12,0.8623839472896077,0.8449945134401114,0.8773914836083326,20034,0.8637560777957861,0.8468437891241702,0.8798380948757194,19744,-0.0013721305061784594,-0.02508236719159582,0.020340351878753587
gpt-4o-mini,GRPO,iters_1-5,14,0.883439721832996,0.8683511234423524,0.8962697846610599,19269,0.8846050148287948,0.8687814676978088,0.899250368482858,18545,-0.0011652929957988167,-0.022255969903076427,0.02108554935457437
gpt-4o-mini,GRPO,iters_1-5,16,0.891264841289072,0.8767109354496775,0.9045406417431885,16508,0.8915152584230023,0.8749076233024075,0.9056894859642566,17007,-0.00025041713393025855,-0.02177279598624745,0.022211486897224676
gpt-4o-mini,GRPO,iters_1-5,18,0.8998770165665919,0.8860507377372561,0.9143798230002346,13823,0.8946044171093095,0.8766955194307323,0.909786169317152,14308,0.005272599457282423,-0.016096435883794908,0.02676812075770585
gpt-4o-mini,GRPO,iters_1-5,20,0.9035752025361042,0.8882187392106503,0.9179201767576669,11356,0.8921652665866621,0.8724004969331578,0.9083924414010885,11666,0.011409935949442174,-0.011427957511005038,0.03652742009719841
gpt-4o-mini,GRPO,iters_1-5,22,0.9101978691019786,0.8944189927793592,0.9243536227103182,9198,0.8906457319770014,0.8704837827899835,0.9112365902404654,9044,0.019552137124977276,-0.005429745270124206,0.04352423521624591
gpt-4o-mini,GRPO,iters_1-5,24,0.9144538735286066,0.8973208270438396,0.9294828860249957,7306,0.8939169139465876,0.8712930127873995,0.9137217365104261,6740,0.020536959582019065,-0.005625305039941494,0.04665574151291014
gpt-4o-mini,GRPO,iters_1-5,26,0.9130895601483837,0.893526968427737,0.929403519350474,5661,0.9003079291762894,0.8751893537705303,0.9226628034815302,5196,0.012781630972094282,-0.01610923625210575,0.042893746155112045
gpt-4o-mini,GRPO,iters_1-5,28,0.904143897996357,0.8818358881669824,0.9232920731949028,4392,0.8959524353990396,0.8662186338053637,0.9196293319470875,4373,0.0081914625973174,-0.026564431198322865,0.041634852733423225
gpt-4o-mini,GRPO,iters_1-5,30,0.9107429182255479,0.8875139965020366,0.9292693439865434,3742,0.8971395550418954,0.8679910595964502,0.9216105589765571,3461,0.013603363183652517,-0.01930385912106493,0.04678825121483284
gpt-4o-mini,GRPO,iters_1-5,32,0.9176387416048074,0.8903962517597107,0.9372158812267898,2829,0.8980301274623407,0.8650739645024287,0.922611836176053,2589,0.01960861414246673,-0.015827482968624913,0.05769199532004219
gpt-4o-mini,GRPO,iters_1-5,34,0.9249076733688962,0.8993578323176615,0.9456761959552152,2437,0.8998541565386485,0.865435786534406,0.9296790451130397,2057,0.025053516830247702,-0.0122617743634747,0.06520999423033216
gpt-4o-mini,GRPO,iters_1-5,36,0.9265617548879351,0.89829725654166,0.950076287882012,2097,0.9055982436882547,0.8717492408416427,0.9327821379845846,1822,0.02096351119968043,-0.019283956155794674,0.060127421739924004
gpt-4o-mini,GRPO,iters_1-5,38,0.9337047353760446,0.9093950644585037,0.9526449941740098,1795,0.9129232895646164,0.8771010089026111,0.9421365593036534,1447,0.020781445811428156,-0.017863142915089704,0.06269666927834092
gpt-4o-mini,GRPO,iters_1-5,40,0.9319546364242829,0.9020403123638668,0.9562658308547497,1499,0.9242658423493045,0.8861491228070175,0.9536642635757862,1294,0.007688794074978356,-0.03173524811449169,0.05494477140321645
gpt-4o-mini,GRPO,iters_1-5,42,0.9296296296296296,0.897511045646333,0.9558629682313893,1350,0.9241261722080136,0.8811789337131318,0.9548243503753501,1173,0.005503457421615954,-0.037719956935306394,0.0519700564884943
gpt-4o-mini,GRPO,iters_1-5,44,0.9218266253869969,0.8879391722327323,0.9514672979519929,1292,0.9178470254957507,0.8771042582130153,0.949330998232565,1059,0.003979599891246188,-0.04386293337441347,0.05506879135187591
gpt-4o-mini,GRPO,iters_1-5,46,0.9369202226345084,0.9080923475528457,0.9600902586027731,1078,0.9207003089598352,0.8796446022609632,0.9547473478446156,971,0.016219913674673125,-0.02750772955725997,0.06346545480814238
gpt-4o-mini,GRPO,iters_1-5,48,0.9336538461538462,0.8980576560673649,0.9595934600296728,1040,0.929324894514768,0.8906661246241663,0.9591970322872351,948,0.004328951639078205,-0.04072343006759822,0.049874976332036705
gpt-4o-mini,GRPO,iters_1-5,50,0.9374337221633086,0.9019824328720503,0.9657921437115516,943,0.9353701527614571,0.8901507682043108,0.9642455511616411,851,0.002063569401851484,-0.04609606778724507,0.051513517631030833
gpt-4o-mini,GRPO,iters_1-5,12-20,0.8854549944437585,0.8725389171823245,0.8972471505269188,80990,0.8838316722037652,0.8695017851993305,0.8972276974751974,81270,0.0016233222399932856,-0.0175927836244971,0.021414338784868394
gpt-4o-mini,GRPO,iters_1-5,22-34,0.9124420075917334,0.8968603619200002,0.9257480339338074,35565,0.8953078302450688,0.8737696748710859,0.9134721320358136,33460,0.01713417734666467,-0.006906675263433259,0.04037743060491186
gpt-4o-mini,GRPO,iters_1-5,36-50,0.9308635298359473,0.9073675455791004,0.9493270022422606,11094,0.9193936225823314,0.8860750110557553,0.9431981260707285,9565,0.011469907253615963,-0.02189519676247623,0.04797499308466812
gpt-4o-mini,GRPO,iters_1-5,all,0.896920461578234,0.8853699957873794,0.9072790728756311,127649,0.8896576692545959,0.8729663700714487,0.9032431838355668,124295,0.007262792323638134,-0.010906403575571225,0.024979839671741295
gpt-4o-mini,GRPO,matched_iters,12,0.8623839472896077,0.8449945134401114,0.8773914836083326,20034,0.8637560777957861,0.8468437891241702,0.8798380948757194,19744,-0.0013721305061784594,-0.02508236719159582,0.020340351878753587
gpt-4o-mini,GRPO,matched_iters,14,0.883439721832996,0.8683511234423524,0.8962697846610599,19269,0.8846050148287948,0.8687814676978088,0.899250368482858,18545,-0.0011652929957988167,-0.022255969903076427,0.02108554935457437
gpt-4o-mini,GRPO,matched_iters,16,0.891264841289072,0.8767109354496775,0.9045406417431885,16508,0.8915152584230023,0.8749076233024075,0.9056894859642566,17007,-0.00025041713393025855,-0.02177279598624745,0.022211486897224676
gpt-4o-mini,GRPO,matched_iters,18,0.8998770165665919,0.8860507377372561,0.9143798230002346,13823,0.8946044171093095,0.8766955194307323,0.909786169317152,14308,0.005272599457282423,-0.016096435883794908,0.02676812075770585
gpt-4o-mini,GRPO,matched_iters,20,0.9035752025361042,0.8882187392106503,0.9179201767576669,11356,0.8921652665866621,0.8724004969331578,0.9083924414010885,11666,0.011409935949442174,-0.011427957511005038,0.03652742009719841
gpt-4o-mini,GRPO,matched_iters,22,0.9101978691019786,0.8944189927793592,0.9243536227103182,9198,0.8906457319770014,0.8704837827899835,0.9112365902404654,9044,0.019552137124977276,-0.005429745270124206,0.04352423521624591
gpt-4o-mini,GRPO,matched_iters,24,0.9144538735286066,0.8973208270438396,0.9294828860249957,7306,0.8939169139465876,0.8712930127873995,0.9137217365104261,6740,0.020536959582019065,-0.005625305039941494,0.04665574151291014
