judge,method,metric,iteration,n,mean_K0,mean_K5,sd_K0,sd_K5,sd_ratio_K5_over_K0,iqr_K0,iqr_K5,bf_W,bf_p,pm_r,pm_p,bf_p_holm,pm_p_holm
gpt-4o-mini,GRPO,Q1,4,96,3.8979166666666667,4.1000000000000005,0.9434515764961032,0.8228320798188093,0.8721508345714317,1.4000000000000004,1.4,1.574906784792382,0.21103726376941717,0.22569115813340365,0.027038930933394174,1.0,0.16223358560036505
gpt-4o-mini,GRPO,Q1,5,96,3.86875,3.9874999999999994,1.0114411292283585,1.0287703441743603,1.0171331918835675,1.8499999999999996,1.4,0.4149263499479623,0.520256463679184,-0.03189909865445893,0.7576787803290893,1.0,1.0
gpt-4o-mini,PTO,Q2,0,96,3.0778186274509807,3.0606617647058827,1.178372913746387,1.1631272137285635,0.9870620753074228,2.2941176470588234,2.2941176470588234,0.014395455960677575,0.904624921479309,0.015663063038107133,0.8796089238078554,1.0,0.8796089238078554
gpt-4o-mini,PTO,Q2,1,96,3.3541666666666665,3.2573529411764706,1.068138563243148,1.151349441452151,1.0779027001481467,1.8235294117647056,1.941176470588235,1.4288198135721495,0.23344695067172322,-0.09779523983113,0.34317193861969253,1.0,0.6863438772393851
gpt-4o-mini,PTO,Q2,2,96,3.526348039215686,3.3535539215686274,0.9522326529979745,1.1019921958033483,1.1572720094547024,1.7647058823529407,2.0147058823529407,3.288014498537723,0.07136538208992123,-0.19072339535742358,0.06269535259662623,0.5709230567193698,0.21515769033016793
gpt-4o-mini,PTO,Q2,3,96,3.9276960784313726,3.7463235294117645,0.7177779491185828,0.9073371977298544,1.2640917693891915,0.7794117647058814,1.2647058823529411,3.958116697810062,0.048080366186854864,-0.29753188835419875,0.0032400215159683597,0.43272329568169376,0.01944012909581016
gpt-4o-mini,PTO,Q2,4,96,4.115196078431373,3.9405637254901964,0.534438922664814,0.7649437492239016,1.4313024684088256,0.6470588235294112,0.8823529411764701,4.156760998658133,0.04285389803871979,-0.42535578132876106,1.5598742319014917e-05,0.42853898038719795,0.00014038868087113427
gpt-4o-mini,PTO,Q2,5,96,4.106004901960785,4.053921568627451,0.6231507578383226,0.7198649515522055,1.1552019194350005,0.7058823529411757,0.7794117647058818,0.742977492033379,0.38979531980100723,-0.19747355244387363,0.05378942258254198,1.0,0.21515769033016793
gpt-4o-mini,PTO,Q2,6,96,4.2640931372549025,3.923406862745098,0.4727500493050747,0.8579757379456703,1.8148612341910133,0.5882352941176467,1.0588235294117645,12.73293985012269,0.0004548490782810799,-0.6414511121075441,1.90675279106647e-12,0.005003339861091879,2.0974280701731172e-11
gpt-4o-mini,PTO,Q2,7,96,4.283088235294118,4.145833333333333,0.47798463722379525,0.6824265555821626,1.4277165047516922,0.6764705882352944,0.6470588235294108,3.0462700511472516,0.08253941060265084,-0.4230073838608389,1.757331262050651e-05,0.5777758742185559,0.0001405865009640521
gpt-4o-mini,PTO,Q2,8,96,4.341299019607844,4.196078431372549,0.42748580277772863,0.636798280479185,1.4896360916348101,0.6617647058823533,0.617647058823529,2.80642408654935,0.09553242414086735,-0.5106488263824553,1.0640072396341589e-07,0.5777758742185559,1.0640072396341587e-06
gpt-4o-mini,PTO,Q2,9,96,4.356004901960785,4.261029411764706,0.4732409591347522,0.6618799349283753,1.398610839050196,0.6470588235294121,0.5735294117647056,1.3519540989322114,0.246395097148861,-0.4006588166675357,5.23159834166218e-05,1.0,0.0003662118839163526
gpt-4o-mini,PTO,Q2,10,96,4.379901960784314,4.388480392156862,0.4438139257663987,0.5314703126757225,1.1975070673096944,0.8235294117647056,0.4852941176470589,0.15836838883606943,0.6911099426461839,-0.22462662813981535,0.02778908011989044,1.0,0.1389454005994522
gpt-4o-mini,GRPO,Q2,0,96,3.1127450980392157,3.0159313725490193,1.1569484497122977,1.182568689915303,1.0221446687701394,2.0735294117647056,2.2941176470588234,0.15032140298288194,0.6986624029884139,-0.029806970486423844,0.7731279346860574,1.0,1.0
gpt-4o-mini,GRPO,Q2,1,96,3.360906862745098,3.370098039215686,1.074077252526026,1.090677259039049,1.0154551327420658,1.8823529411764701,1.8823529411764701,0.07596256309185251,0.7831447903627071,-0.020217869291031927,0.8449867511424707,1.0,1.0
gpt-4o-mini,GRPO,Q2,2,96,3.4166666666666665,3.5098039215686274,1.0834315081899493,0.927637396529644,0.8562030820752251,1.8382352941176467,1.7647058823529407,3.5234649804373808,0.06203852955504287,0.17969643195268603,0.07979359737090967,0.37223117733025723,0.3989679868545484
gpt-4o-mini,GRPO,Q2,3,96,4.051470588235294,3.917279411764706,0.6050386382528895,0.7348830120096498,1.21460509386921,0.6323529411764706,1.0882352941176467,3.4852025422096693,0.06346029459103669,-0.28676755516589036,0.0046159299647052015,0.37223117733025723,0.027695579788231207
gpt-4o-mini,GRPO,Q2,4,96,4.1109068627450975,4.139705882352941,0.5364764129597067,0.532891898295162,0.9933184114381299,0.6617647058823528,0.5882352941176463,0.0433245812060556,0.8353382516793528,0.009303122094000693,0.9283193980532042,1.0,1.0
gpt-4o-mini,GRPO,Q2,5,96,4.074754901960784,4.095588235294117,0.650874153614864,0.7336762386537943,1.1272167354918905,0.8823529411764701,0.6470588235294108,0.015341757842464792,0.9015555942260424,-0.16892275894539835,0.09991545979316323,1.0,0.3996618391726529
gpt-4o-mini,PTO,Q1Q2,0,96,3.000367647058823,3.0032475490196084,1.2342563272994729,1.19068712795265,0.9647000397055681,2.529411764705883,2.3338235294117657,0.2939484282004887,0.5883366249520987,0.04614785773515324,0.6552579226225419,1.0,1.0
gpt-4o-mini,PTO,Q1Q2,1,96,3.263541666666667,3.180759803921569,1.141869700964367,1.1953809843763348,1.046862863045385,2.111764705882354,2.1485294117647062,0.8977293936164923,0.3445947661300649,-0.06506788844151042,0.5287933023412449,1.0,1.0
gpt-4o-mini,PTO,Q1Q2,2,96,3.4662990196078436,3.3080269607843142,1.0816993851179093,1.1694151035551898,1.0810906612725117,2.1191176470588244,2.2955882352941175,0.9241653614242317,0.3376054750056984,-0.1097513484705819,0.28711479320258604,1.0,1.0
gpt-4o-mini,PTO,Q1Q2,3,96,3.814889705882353,3.674203431372549,0.8660916227819063,1.012806853943959,1.1693992036209748,1.3088235294117645,1.6426470588235293,2.179294933653774,0.14153393119302884,-0.22625920244750047,0.026645729265716855,1.0,0.186520104860018
gpt-4o-mini,PTO,Q1Q2,4,96,4.0075980392156865,3.8879901960784315,0.7158796266800633,0.8981872987989026,1.2546624674378604,1.1014705882352938,1.4897058823529412,2.5500155372625994,0.1119549992285676,-0.3268047456882589,0.001154888338836097,1.0,0.01154888338836097
gpt-4o-mini,PTO,Q1Q2,5,96,4.014460784313726,4.016544117647059,0.7929239585578939,0.8169357052166591,1.0302825339045574,1.1705882352941175,1.1279411764705878,0.004946184741643851,0.9440056752554957,-0.051961231312126974,0.6151156290251582,1.0,1.0
gpt-4o-mini,PTO,Q1Q2,6,96,4.15392156862745,3.8971200980392156,0.6661269593431107,0.9532182430956914,1.430985834946075,0.9558823529411766,1.301470588235294,7.198739921768486,0.007938906005795663,-0.49465848882682595,3.012138828789553e-07,0.0873279660637523,3.3133527116685085e-06
gpt-4o-mini,PTO,Q1Q2,7,96,4.129044117647059,4.085416666666667,0.6866279091553391,0.808797907465456,1.177927516025973,1.130882352941176,1.105882352941176,0.4708368856408759,0.49343889650309425,-0.22059974088087225,0.03078845402013826,1.0,0.186520104860018
gpt-4o-mini,PTO,Q1Q2,8,96,4.220649509803922,4.1438725490196076,0.6400333461944613,0.7727280651433016,1.2073246960300155,0.9264705882352948,0.986764705882353,1.2789905893465214,0.25951229129002984,-0.3015435135165303,0.002829922459932045,1.0,0.02263937967945636
gpt-4o-mini,PTO,Q1Q2,9,96,4.238419117647059,4.19718137254902,0.6256258658358955,0.7868279007827129,1.2576652337278866,1.0897058823529413,0.902941176470589,0.34369973337380294,0.5583972340903443,-0.3226481638113969,0.0013455518886916862,1.0,0.012109966998225176
gpt-4o-mini,PTO,Q1Q2,10,96,4.2597426470588236,4.306740196078432,0.6006687999168839,0.6578619581465753,1.0952157965214864,1.0970588235294128,0.7397058823529425,0.5812832012604557,0.44675524353997476,-0.12629798458510189,0.22013502744060878,1.0,1.0
gpt-4o-mini,GRPO,Q1Q2,0,96,3.0667892156862746,2.9631740196078433,1.2118551708594192,1.2447765917140738,1.0271661347381202,2.3470588235294123,2.5250000000000012,0.2828189616200034,0.5954807447580249,-0.03921529457749606,0.704433469172037,1.0,1.0
gpt-4o-mini,GRPO,Q1Q2,1,96,3.268995098039216,3.2715073529411764,1.146551599901977,1.1870930131971227,1.0353594319685322,2.1485294117647062,2.1411764705882357,0.23537769483155238,0.6281236198084208,-0.048990792124634336,0.635495151221048,1.0,1.0
gpt-4o-mini,GRPO,Q1Q2,2,96,3.359375,3.435110294117647,1.1670452405222367,1.045790254288261,0.8961008690805201,2.119117647058824,2.060294117647059,2.774679849012712,0.0974136808550272,0.1361023993907246,0.1860952279369263,0.5844820851301632,0.9304761396846315
gpt-4o-mini,GRPO,Q1Q2,3,96,3.9934436274509806,3.861764705882353,0.7788465710731384,0.8550351152208839,1.0978222758851832,1.1073529411764707,1.5117647058823525,1.9231981203874504,0.16712940089074305,-0.16949784627325626,0.09874936044988478,0.8356470044537152,0.5924961626993086
gpt-4o-mini,GRPO,Q1Q2,4,96,4.004411764705883,4.119852941176471,0.7271466878085653,0.6679826900135306,0.9186354022001532,1.0235294117647058,1.0176470588235285,0.6950687661677734,0.40549251813746245,0.13469485310173926,0.19073152319218498,1.0,0.9304761396846315
gpt-4o-mini,GRPO,Q1Q2,5,96,3.9717524509803925,4.041544117647059,0.8158990245156251,0.8720362038217306,1.0688040769989062,1.3323529411764699,1.019117647058823,0.05894436276020231,0.8084341560339896,-0.11376957452560928,0.2697252531456342,1.0,0.9304761396846315
claude-haiku-4-5,PTO,Q1,0,96,1.6729166666666666,1.6833333333333333,0.7958417148451816,0.7520731580688937,0.9450034398048582,1.2000000000000002,1.4,0.0007397428809480325,0.9783301852963314,0.0619887936461611,0.5485162782455913,1.0,1.0
claude-haiku-4-5,PTO,Q1,1,96,1.9145833333333335,1.8625,0.926678183697205,0.9099739730228263,0.9819740974070057,1.4,1.4,0.000582382619250438,0.9807721620961802,0.022810265324926502,0.8254077404543174,1.0,1.0
claude-haiku-4-5,PTO,Q1,2,96,2.0791666666666666,1.90625,0.9538748308779597,0.8161285373479378,0.8555929047805588,1.6,1.4,4.097210171187072,0.044354275482734525,0.18294293175210252,0.07441134536739553,0.48789703031007975,0.8185247990413509
claude-haiku-4-5,PTO,Q1,3,96,2.3666666666666667,2.225,0.8694422491237721,0.8959558259787495,1.0304949257776441,1.6500000000000001,1.2000000000000002,0.07303422614471487,0.7872624381985793,-0.03507022321441269,0.7344441715237058,1.0,1.0
claude-haiku-4-5,PTO,Q1,4,96,2.59375,2.4749999999999996,0.895581257884333,0.9168596288131396,1.0237592856499402,1.4,1.65,0.06313224544044924,0.8018836236619823,-0.03141415996749543,0.761251550396889,1.0,1.0
claude-haiku-4-5,PTO,Q1,5,96,2.6479166666666667,2.5375,0.89242179862813,0.8461989314451699,0.9482051343277182,1.4,1.4,1.1174109671906043,0.2918187809010421,0.07527290412829699,0.4660661016446942,1.0,1.0
claude-haiku-4-5,PTO,Q1,6,96,2.7604166666666665,2.4479166666666665,0.8984758048661213,0.9504546465180331,1.0578522441788591,1.4500000000000002,1.7999999999999998,0.051442592435909984,0.8208156419183024,-0.07038102200224033,0.4956166743080841,1.0,1.0
claude-haiku-4-5,PTO,Q1,7,96,2.6583333333333337,2.7083333333333335,0.893445921158683,0.9443088998021855,1.0569289952967045,1.4500000000000002,1.7999999999999998,0.46505303236333645,0.4961023137354125,-0.06890596323362298,0.5047163327678961,1.0,1.0
claude-haiku-4-5,PTO,Q1,8,96,2.7229166666666664,2.658333333333333,0.873646823338713,0.9130246629131763,1.0450729499867895,1.6,1.6,0.14251475744530012,0.7062150481151392,-0.06547758052002921,0.5261960771908933,1.0,1.0
claude-haiku-4-5,PTO,Q1,9,96,2.720833333333333,2.6749999999999994,0.8452862071096539,0.8817446819859626,1.0431315151834475,1.6,1.2499999999999996,0.1371291098636743,0.7115643923180556,-0.049486334706200404,0.6320758564846524,1.0,1.0
claude-haiku-4-5,PTO,Q1,10,96,2.639583333333333,2.6041666666666665,0.7976912958712611,0.819745360548232,1.027647367836555,1.4500000000000002,1.4,0.05999578976913859,0.8067669348221479,-0.030330696948798613,0.769251945956607,1.0,1.0
claude-haiku-4-5,GRPO,Q1,0,96,1.6937499999999999,1.6812500000000001,0.7409542211869347,0.7625873547890828,1.0291963160254274,1.2000000000000002,1.4,0.29319311882037064,0.5888158870290704,-0.0347662976513408,0.7366610550794315,1.0,1.0
claude-haiku-4-5,GRPO,Q1,1,96,1.9604166666666665,1.875,0.9142703926504419,0.8788748788260926,0.9612855079756671,1.4,1.4,0.2722098410078809,0.602460896074088,0.04970394587306893,0.6305767543359134,1.0,1.0
claude-haiku-4-5,GRPO,Q1,2,96,1.9708333333333332,1.9708333333333332,0.8583848562291327,0.8652248465501435,1.00796844244324,1.6,1.6,0.0,1.0,-0.008834981950923797,0.9319175650684359,1.0,1.0
claude-haiku-4-5,GRPO,Q1,3,96,2.577083333333333,2.5229166666666667,0.7888004439342546,0.8487116138646695,1.0759522517908324,1.4,1.2000000000000002,0.3409723094592891,0.559961118806863,-0.0971676359776006,0.3462928935503199,1.0,1.0
claude-haiku-4-5,GRPO,Q1,4,96,2.4458333333333333,2.8145833333333328,1.0041929639127778,0.811623346226777,0.8082344483517742,2.0,1.1999999999999997,6.5657314495068695,0.011170944649098893,0.26187754046621947,0.009954644176360645,0.06702566789459335,0.05972786505816387
claude-haiku-4-5,GRPO,Q1,5,96,2.360416666666667,2.8104166666666663,1.0278725260578576,1.0007869710400454,0.9736489162506445,2.0,1.6499999999999995,0.5913926432138558,0.4428359913201424,0.03352272478566866,0.7457541880016236,1.0,1.0
claude-haiku-4-5,PTO,Q2,0,96,1.9865196078431373,1.98406862745098,0.657278105971752,0.6237851667003231,0.949042971358507,1.0588235294117645,0.9411764705882351,0.30424569709224575,0.5818810369539642,0.057842728649426155,0.5756256385928915,1.0,1.0
claude-haiku-4-5,PTO,Q2,1,96,2.2285539215686274,2.1605392156862746,0.6701410595095811,0.7212708167453108,1.0762970071900193,1.2941176470588236,1.3676470588235294,1.0146298718616311,0.31507729475806107,-0.09003369587176532,0.3830096878801181,1.0,1.0
claude-haiku-4-5,PTO,Q2,2,96,2.319240196078431,2.2199754901960786,0.6377172451557319,0.6292942682302444,0.9867919881585911,0.9411764705882355,1.1911764705882355,0.0024251165491865523,0.9607754019990812,0.01529341437388191,0.8824295866576606,1.0,1.0
claude-haiku-4-5,PTO,Q2,3,96,2.59375,2.474877450980392,0.5880543452338918,0.6445628636007883,1.0960940410097997,0.8235294117647061,0.882352941176471,1.0023244695758207,0.3180220353677835,-0.11193790347034388,0.27756189305103185,1.0,1.0
claude-haiku-4-5,PTO,Q2,4,96,2.767156862745098,2.6397058823529416,0.5113832012160816,0.614120849783471,1.2009014928982353,0.7647058823529407,0.8235294117647056,2.3041715851132554,0.13068919436473886,-0.21388504292872407,0.036396978279832064,1.0,0.4003667610781527
claude-haiku-4-5,PTO,Q2,5,96,2.8560049019607843,2.6200980392156867,0.5806865354261116,0.5631115695077402,0.9697341597468335,0.8970588235294121,0.7794117647058822,0.013905579399141804,0.9062540927551563,0.0363174276164668,0.7253698177308427,1.0,1.0
claude-haiku-4-5,PTO,Q2,6,96,2.9387254901960786,2.565563725490196,0.5845654357032686,0.6399764264272283,1.0947900565781774,0.5882352941176467,0.9117647058823533,3.700846274423763,0.055879428538381494,-0.10085744221312745,0.32819891042897764,0.5587942853838149,1.0
claude-haiku-4-5,PTO,Q2,7,96,2.968137254901961,2.7622549019607843,0.617413587993482,0.5667864578908168,0.9180012699960215,1.1470588235294117,0.7058823529411762,1.742157662803984,0.18845371507052752,0.09498385442035093,0.35729046541371096,1.0,1.0
claude-haiku-4-5,PTO,Q2,8,96,3.0680147058823533,2.761029411764705,0.6131163993703275,0.6129075120150393,0.9996593022866415,1.1911764705882355,0.8235294117647056,0.3199511943949663,0.5723043543665081,0.0004167222621074343,0.9967848997658308,1.0,1.0
claude-haiku-4-5,PTO,Q2,9,96,3.1213235294117645,2.792279411764705,0.6351457515091881,0.5990311564119288,0.9431396730412723,1.2941176470588238,0.7794117647058818,4.2842242481129675,0.03982034225287102,0.07060909790756728,0.494217404900043,0.43802376478158117,1.0
claude-haiku-4-5,PTO,Q2,10,96,3.0925245098039214,2.729779411764705,0.5980448197135461,0.5464794778442936,0.9137767936959116,1.1764705882352944,0.7205882352941173,1.832597079418973,0.17742923092414278,0.10605924415917224,0.3037355155377854,1.0,1.0
claude-haiku-4-5,GRPO,Q2,0,96,2.0281862745098036,1.9877450980392155,0.6094011956640354,0.658741517820481,1.0809652532806107,0.8823529411764706,1.0441176470588232,1.9615699931999144,0.16297649339660428,-0.09133094267540838,0.37616410146771606,0.634202642657982,1.0
claude-haiku-4-5,GRPO,Q2,1,96,2.1875,2.2175245098039214,0.6662951219864618,0.6672132654203182,1.0013779831242335,1.1911764705882353,1.2941176470588238,0.00013721363874686938,0.9906662260069516,-0.0016336915682227116,0.9873962068685824,0.9912528641802973,1.0
claude-haiku-4-5,GRPO,Q2,2,96,2.2426470588235294,2.3125,0.605339562691197,0.6321279029337781,1.044253410636976,1.0147058823529411,1.0294117647058827,0.4660826032540704,0.49562643209014867,-0.04665646891743727,0.6517042838143366,0.9912528641802973,1.0
claude-haiku-4-5,GRPO,Q2,3,96,2.6960784313725488,2.6488970588235294,0.47410963176983356,0.5580785730348087,1.1771087015286363,0.7794117647058822,0.9411764705882355,2.003720816126266,0.1585506606644955,-0.2244907588680487,0.02788608264879242,0.634202642657982,0.1394304132439621
claude-haiku-4-5,GRPO,Q2,4,96,2.6550245098039214,2.752450980392157,0.6219806568322214,0.45810984159406276,0.7365339043294997,0.8382352941176467,0.8235294117647056,11.508744668203201,0.0008428424473277322,0.33733534228751866,0.0007766438309159821,0.005057054683966393,0.004659862985495892
claude-haiku-4-5,GRPO,Q2,5,96,2.6127450980392157,2.7849264705882355,0.7058651528692204,0.5901410691649979,0.8360535532405531,1.058823529411765,0.8235294117647052,6.109149051708537,0.01432836746583035,0.20062720140927762,0.05000002538209536,0.07164183732915175,0.20000010152838144
claude-haiku-4-5,PTO,Q1Q2,0,96,1.8297181372549016,1.833700980392157,0.6911419501512758,0.6564056023665453,0.949740646220176,1.0661764705882353,1.0897058823529409,0.2754744866318529,0.6002947245436006,0.058277507524329884,0.5727538030356895,1.0,1.0
claude-haiku-4-5,PTO,Q1Q2,1,96,2.0715686274509806,2.011519607843137,0.7701727268996229,0.7818697344654292,1.0151875120440752,1.325,1.3602941176470584,0.18415015150180775,0.6683168404644197,-0.019393502255267328,0.8512331608067646,1.0,1.0
claude-haiku-4-5,PTO,Q1Q2,2,96,2.199203431372549,2.063112745098039,0.7657281187486905,0.6944903649399866,0.906967300710967,1.2705882352941176,1.3176470588235296,1.465785201349429,0.22751574201833838,0.11691880611660385,0.25660366691558545,1.0,1.0
claude-haiku-4-5,PTO,Q1Q2,3,96,2.480208333333333,2.3499387254901962,0.6957529771947074,0.7420830834262837,1.0665898785203627,1.0352941176470585,0.9779411764705881,0.4361499265142502,0.50978646809896,-0.0795852300806141,0.4408362177982098,1.0,1.0
claude-haiku-4-5,PTO,Q1Q2,4,96,2.6804534313725497,2.557352941176471,0.6672954269898482,0.7324952303117269,1.0977075530338838,1.1014705882352942,1.2088235294117649,0.5477057944822818,0.46017011043248546,-0.12437121721984001,0.22731078022570053,1.0,1.0
claude-haiku-4-5,PTO,Q1Q2,5,96,2.751960784313725,2.578799019607843,0.6955972406183271,0.6740929972241929,0.9690852088846432,1.191176470588235,1.1117647058823534,0.3686789387420021,0.544450178751412,0.04437271297113643,0.6677206362619516,1.0,1.0
claude-haiku-4-5,PTO,Q1Q2,6,96,2.8495710784313726,2.5067401960784315,0.7037360273092932,0.770944298503078,1.0955021038936332,1.244117647058823,1.247058823529412,0.7632833214699167,0.38340584691879104,-0.11228814014945622,0.27605176140754184,1.0,1.0
claude-haiku-4-5,PTO,Q1Q2,7,96,2.813235294117647,2.7352941176470593,0.718235560356254,0.7187673334911965,1.0007403882017185,1.3044117647058822,1.2823529411764705,0.041694440612285125,0.8384218855655493,-0.0009282574896259319,0.9928383730366082,1.0,1.0
claude-haiku-4-5,PTO,Q1Q2,8,96,2.8954656862745103,2.7096813725490194,0.7215043669786306,0.736327436985474,1.0205446712248138,1.4161764705882356,1.3411764705882354,0.0401466951907321,0.8414083386585867,-0.029017240341421873,0.7789830740300154,1.0,1.0
claude-haiku-4-5,PTO,Q1Q2,9,96,2.9210784313725493,2.733639705882353,0.7102074239816235,0.7101207651468144,0.9998779809505183,1.3882352941176475,1.0367647058823528,1.4575454583994512,0.22882186299935167,0.0001500731305666414,0.998842151429737,1.0,1.0
claude-haiku-4-5,PTO,Q1Q2,10,96,2.866053921568627,2.666973039215686,0.6684052672495591,0.6551569631475433,0.9801792344388135,1.3205882352941174,1.0014705882352937,0.6974966055731185,0.40467508499406946,0.023476824646015467,0.8203902822937679,1.0,1.0
claude-haiku-4-5,GRPO,Q1Q2,0,96,1.860968137254902,1.834497549019608,0.6482404745409845,0.6816082302082674,1.0514743478350537,0.9823529411764707,1.189705882352941,1.180492541985805,0.2786322328430684,-0.06079217524300163,0.5562764195145452,1.0,1.0
claude-haiku-4-5,GRPO,Q1Q2,1,96,2.073958333333333,2.046262254901961,0.7433050886240988,0.7444287678090976,1.001511733475522,1.2941176470588236,1.3691176470588236,0.055142353896718746,0.8145981437562511,-0.0018935468846997122,0.9853916502448331,1.0,1.0
claude-haiku-4-5,GRPO,Q1Q2,2,96,2.1067401960784315,2.1416666666666666,0.6945236673481824,0.7239909759691546,1.042428084176719,1.1632352941176471,1.1882352941176468,0.08193261493039891,0.7750071345605964,-0.046962302425910235,0.649571176454043,1.0,1.0
claude-haiku-4-5,GRPO,Q1Q2,3,96,2.6365808823529413,2.585906862745098,0.5964224082280992,0.6749337660384322,1.1316371697763352,1.0485294117647057,1.072058823529412,0.9983663263107966,0.3189769463564617,-0.17932288227168644,0.08043237053239156,1.0,0.4021618526619578
claude-haiku-4-5,GRPO,Q1Q2,4,96,2.5504289215686273,2.7835171568627453,0.785172064026016,0.6025959865409031,0.7674699777919461,1.4294117647058822,0.9823529411764707,14.182357708706308,0.00022115097429707022,0.32417515817171005,0.0012724172605097354,0.0013269058457824213,0.007634503563058412
claude-haiku-4-5,GRPO,Q1Q2,5,96,2.486580882352941,2.7976715686274507,0.8375214289574018,0.7735273418925639,0.9235911048335782,1.6117647058823525,1.217647058823529,2.715039843952795,0.1010592153805276,0.09873769702765764,0.3385186088130557,0.505296076902638,1.0
